 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-06- 29
Avarai (1 Kg) : ,20.00,2018-06- 29
Amla (1 Kg) : ,126.00,2018-06- 29
Baby corn (1 Kg) : ,79.00,2018-06- 29
Beans (1 Kg) : ,50.00,2018-06- 29
Beetroot (1 Kg) : ,25.00,2018-06- 29
Bittergourd (1 Kg) : ,40.00,2018-06- 29
Brinjal (1 Kg) : ,20.00,2018-06- 29
Brinjal - Big (1 Kg) : ,35.00,2018-06- 29
Brinjal - Green (1 Kg) : ,30.00,2018-06- 29
Butter Beans (1 Kg) : ,60.00,2018-06- 29
Cabbage (1 Kg) : ,08.00,2018-06- 29
Capscicum - Red (1 Kg) :,149.00,2018-06- 29
Capscicum - Green (1 Kg) : ,70.00,2018-06- 29
Carrot (1 Kg) : ,28.00,2018-06- 29
Cauliflower (1 Piece) : ,08.00,2018-06- 29
Chow Chow (1 Kg) : ,15.00,2018-06- 29
Cluster Beans (1 Kg) : ,45.00,2018-06- 29
Coconut (Small) : ,25.00,2018-06- 29
Coconut (Big) : ,35.00,2018-06- 29
Cucumber (1 Kg) : ,29.00,2018-06- 29
Double Beans (1 Kg) : ,170.00,2018-06- 29
Drumstick (1 Kg) : ,28.00,2018-06- 29
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-06- 29
Garlic - Small (Country) (1 Kg) : ,110.00,2018-06- 29
Ginger (1 Kg) : ,120.00,2018-06- 29
Green Peas (1 Kg) : ,60.00,2018-06- 29
Green Chilli (1 Kg) : ,37.00,2018-06- 29
Karunai Kizhangu (1 Kg) : ,49.00,2018-06- 29
Kovakkai (1 Kg) : ,25.00,2018-06- 29
Ladies Fingers (1 Kg) : ,15.00,2018-06- 29
Mango - Raw (1 Kg) : ,35.00,2018-06- 29
Maravalli Kizhangu (1 Kg) : ,39.00,2018-06- 29
Noolkol (1 Kg) : ,25.00,2018-06- 29
Onion - Big (1 Kg) : ,14.00,2018-06- 29
Onion - Small (1 Kg) : ,55.00,2018-06- 29
Onion - White (1 Kg) : ,40.00,2018-06- 29
Peerkankkai (1 Kg) : ,06.00,2018-06- 29
Potato (1 Kg) : ,21.00,2018-06- 29
Potatoes - Baby (1 Kg) : ,59.00,2018-06- 29
Radish (1 Kg) : ,22.00,2018-06- 29
Senaikizhangu (1 Kg) : ,30.00,2018-06- 29
Seppankizhangu (1 Kg) : ,35.00,2018-06- 29
Snake Gourd (1 Kg) : ,15.00,2018-06- 29
Bottle Guard (1 Kg) : ,05.00,2018-06- 29
Tomato - Bangalore (1 Kg) : ,15.00,2018-06- 29
Tomato - Local (1 Kg) : ,15.00,2018-06- 29
Vazhai Poo (1 Piece) : ,20.00,2018-06- 29
Vazhai Thandu (1 Piece) : ,15.00,2018-06- 29
Yellow Pumpkin (1 Kg) : ,05.00,2018-06- 29
