 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-07- 26
Avarai (1 Kg) : ,20.00,2018-07- 26
Amla (1 Kg) : ,126.00,2018-07- 26
Baby corn (1 Kg) : ,79.00,2018-07- 26
Beans (1 Kg) : ,60.00,2018-07- 26
Beetroot (1 Kg) : ,35.00,2018-07- 26
Bittergourd (1 Kg) : ,40.00,2018-07- 26
Brinjal (1 Kg) : ,30.00,2018-07- 26
Brinjal - Big (1 Kg) : ,30.00,2018-07- 26
Brinjal - Green (1 Kg) : ,30.00,2018-07- 26
Butter Beans (1 Kg) : ,60.00,2018-07- 26
Cabbage (1 Kg) : ,09.00,2018-07- 26
Capscicum - Red (1 Kg) :,149.00,2018-07- 26
Capscicum - Green (1 Kg) : ,50.00,2018-07- 26
Carrot (1 Kg) : ,40.00,2018-07- 26
Cauliflower (1 Piece) : ,08.00,2018-07- 26
Chow Chow (1 Kg) : ,15.00,2018-07- 26
Cluster Beans (1 Kg) : ,50.00,2018-07- 26
Coconut (Small) : ,25.00,2018-07- 26
Coconut (Big) : ,35.00,2018-07- 26
Cucumber (1 Kg) : ,29.00,2018-07- 26
Double Beans (1 Kg) : ,170.00,2018-07- 26
Drumstick (1 Kg) : ,18.00,2018-07- 26
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-07- 26
Garlic - Small (Country) (1 Kg) : ,110.00,2018-07- 26
Ginger (1 Kg) : ,120.00,2018-07- 26
Green Peas (1 Kg) : ,60.00,2018-07- 26
Green Chilli (1 Kg) : ,38.00,2018-07- 26
Karunai Kizhangu (1 Kg) : ,49.00,2018-07- 26
Kovakkai (1 Kg) : ,25.00,2018-07- 26
Ladies Fingers (1 Kg) : ,30.00,2018-07- 26
Mango - Raw (1 Kg) : ,35.00,2018-07- 26
Maravalli Kizhangu (1 Kg) : ,39.00,2018-07- 26
Noolkol (1 Kg) : ,30.00,2018-07- 26
Onion - Big (1 Kg) : ,20.00,2018-07- 26
Onion - Small (1 Kg) : ,60.00,2018-07- 26
Onion - White (1 Kg) : ,20.00,2018-07- 26
Peerkankkai (1 Kg) : ,06.00,2018-07- 26
Potato (1 Kg) : ,25.00,2018-07- 26
Potatoes - Baby (1 Kg) : ,59.00,2018-07- 26
Radish (1 Kg) : ,12.00,2018-07- 26
Senaikizhangu (1 Kg) : ,30.00,2018-07- 26
Seppankizhangu (1 Kg) : ,35.00,2018-07- 26
Snake Gourd (1 Kg) : ,15.00,2018-07- 26
Bottle Guard (1 Kg) : ,05.00,2018-07- 26
Tomato - Bangalore (1 Kg) : ,20.00,2018-07- 26
Tomato - Local (1 Kg) : ,20.00,2018-07- 26
Vazhai Poo (1 Piece) : ,20.00,2018-07- 26
Vazhai Thandu (1 Piece) : ,15.00,2018-07- 26
Yellow Pumpkin (1 Kg) : ,05.00,2018-07- 26
