 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-08- 21
Avarai (1 Kg) : ,45.00,2018-08- 21
Amla (1 Kg) : ,125.00,2018-08- 21
Baby corn (1 Kg) : ,80.00,2018-08- 21
Beans (1 Kg) : ,25.00,2018-08- 21
Beetroot (1 Kg) : ,25.00,2018-08- 21
Bittergourd (1 Kg) : ,25.00,2018-08- 21
Brinjal (1 Kg) : ,30.00,2018-08- 21
Brinjal - Big (1 Kg) : ,15.00,2018-08- 21
Brinjal - Green (1 Kg) : ,15.00,2018-08- 21
Butter Beans (1 Kg) : ,60.00,2018-08- 21
Cabbage (1 Kg) : ,10.00,2018-08- 21
Capscicum - Red (1 Kg) :,150.00,2018-08- 21
Capscicum - Green (1 Kg) : ,60.00,2018-08- 21
Carrot (1 Kg) : ,40.00,2018-08- 21
Cauliflower (1 Piece) : ,15.00,2018-08- 21
Chow Chow (1 Kg) : ,40.00,2018-08- 21
Cluster Beans (1 Kg) : ,45.00,2018-08- 21
Coconut (Small) : ,25.00,2018-08- 21
Coconut (Big) : ,35.00,2018-08- 21
Cucumber (1 Kg) : ,30.00,2018-08- 21
Double Beans (1 Kg) : ,170.00,2018-08- 21
Drumstick (1 Kg) : ,20.00,2018-08- 21
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-08- 21
Garlic - Small (Country) (1 Kg) : ,110.00,2018-08- 21
Ginger (1 Kg) : ,120.00,2018-08- 21
Green Peas (1 Kg) : ,60.00,2018-08- 21
Green Chilli (1 Kg) : ,28.00,2018-08- 21
Karunai Kizhangu (1 Kg) : ,50.00,2018-08- 21
Kovakkai (1 Kg) : ,25.00,2018-08- 21
Ladies Fingers (1 Kg) : ,25.00,2018-08- 21
Mango - Raw (1 Kg) : ,30.00,2018-08- 21
Maravalli Kizhangu (1 Kg) : ,40.00,2018-08- 21
Noolkol (1 Kg) : ,25.00,2018-08- 21
Onion - Big (1 Kg) : ,18.00,2018-08- 21
Onion - Small (1 Kg) : ,40.00,2018-08- 21
Onion - White (1 Kg) : ,40.00,2018-08- 21
Peerkankkai (1 Kg) : ,40.00,2018-08- 21
Potato (1 Kg) : ,24.00,2018-08- 21
Potatoes - Baby (1 Kg) : ,55.00,2018-08- 21
Radish (1 Kg) : ,10.00,2018-08- 21
Senaikizhangu (1 Kg) : ,30.00,2018-08- 21
Seppankizhangu (1 Kg) : ,30.00,2018-08- 21
Snake Gourd (1 Kg) : ,20.00,2018-08- 21
Bottle Guard (1 Kg) : ,05.00,2018-08- 21
Tomato - Bangalore (1 Kg) : ,20.00,2018-08- 21
Tomato - Local (1 Kg) : ,16.00,2018-08- 21
Vazhai Poo (1 Piece) : ,20.00,2018-08- 21
Vazhai Thandu (1 Piece) : ,15.00,2018-08- 21
Yellow Pumpkin (1 Kg) : ,05.00,2018-08- 21
