 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-10- 26
Avarai (1 Kg) : ,35.00,2018-10- 26
Amla (1 Kg) : ,125.00,2018-10- 26
Baby corn (1 Kg) : ,80.00,2018-10- 26
Beans (1 Kg) : ,35.00,2018-10- 26
Beetroot (1 Kg) : ,10.00,2018-10- 26
Bittergourd (1 Kg) : ,18.00,2018-10- 26
Brinjal (1 Kg) : ,20.00,2018-10- 26
Brinjal - Big (1 Kg) : ,15.00,2018-10- 26
Brinjal - Green (1 Kg) : ,15.00,2018-10- 26
Butter Beans (1 Kg) : ,60.00,2018-10- 26
Cabbage (1 Kg) : ,10.00,2018-10- 26
Capscicum - Red (1 Kg) :,150.00,2018-10- 26
Capscicum - Green (1 Kg) : ,20.00,2018-10- 26
Carrot (1 Kg) : ,35.00,2018-10- 26
Cauliflower (1 Piece) : ,50.00,2018-10- 26
Chow Chow (1 Kg) : ,35.00,2018-10- 26
Cluster Beans (1 Kg) : ,45.00,2018-10- 26
Coconut (Small) : ,25.00,2018-10- 26
Coconut (Big) : ,35.00,2018-10- 26
Cucumber (1 Kg) : ,30.00,2018-10- 26
Double Beans (1 Kg) : ,170.00,2018-10- 26
Drumstick (1 Kg) : ,45.00,2018-10- 26
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-10- 26
Garlic - Small (Country) (1 Kg) : ,180.00,2018-10- 26
Ginger (1 Kg) : ,72.00,2018-10- 26
Green Peas (1 Kg) : ,60.00,2018-10- 26
Green Chilli (1 Kg) : ,20.00,2018-10- 26
Karunai Kizhangu (1 Kg) : ,50.00,2018-10- 26
Kovakkai (1 Kg) : ,25.00,2018-10- 26
Ladies Fingers (1 Kg) : ,12.00,2018-10- 26
Mango - Raw (1 Kg) : ,33.00,2018-10- 26
Maravalli Kizhangu (1 Kg) : ,40.00,2018-10- 26
Noolkol (1 Kg) : ,25.00,2018-10- 26
Onion - Big (1 Kg) : ,20.00,2018-10- 26
Onion - Small (1 Kg) : ,50.00,2018-10- 26
Onion - White (1 Kg) : ,40.00,2018-10- 26
Peerkankkai (1 Kg) : ,40.00,2018-10- 26
Potato (1 Kg) : ,23.00,2018-10- 26
Potatoes - Baby (1 Kg) : ,55.00,2018-10- 26
Radish (1 Kg) : ,25.00,2018-10- 26
Senaikizhangu (1 Kg) : ,30.00,2018-10- 26
Seppankizhangu (1 Kg) : ,35.00,2018-10- 26
Snake Gourd (1 Kg) : ,12.00,2018-10- 26
Bottle Guard (1 Kg) : ,05.00,2018-10- 26
Tomato - Bangalore (1 Kg) : ,12.00,2018-10- 26
Tomato - Local (1 Kg) : ,15.00,2018-10- 26
Vazhai Poo (1 Piece) : ,20.00,2018-10- 26
Vazhai Thandu (1 Piece) : ,15.00,2018-10- 26
Yellow Pumpkin (1 Kg) : ,05.40,2018-10- 26
