 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-09- 15
Avarai (1 Kg) : ,35.00,2018-09- 15
Amla (1 Kg) : ,125.00,2018-09- 15
Baby corn (1 Kg) : ,80.00,2018-09- 15
Beans (1 Kg) : ,25.00,2018-09- 15
Beetroot (1 Kg) : ,12.00,2018-09- 15
Bittergourd (1 Kg) : ,30.00,2018-09- 15
Brinjal (1 Kg) : ,35.00,2018-09- 15
Brinjal - Big (1 Kg) : ,15.00,2018-09- 15
Brinjal - Green (1 Kg) : ,15.00,2018-09- 15
Butter Beans (1 Kg) : ,60.00,2018-09- 15
Cabbage (1 Kg) : ,10.00,2018-09- 15
Capscicum - Red (1 Kg) :,150.00,2018-09- 15
Capscicum - Green (1 Kg) : ,40.00,2018-09- 15
Carrot (1 Kg) : ,40.00,2018-09- 15
Cauliflower (1 Piece) : ,15.00,2018-09- 15
Chow Chow (1 Kg) : ,35.00,2018-09- 15
Cluster Beans (1 Kg) : ,45.00,2018-09- 15
Coconut (Small) : ,25.00,2018-09- 15
Coconut (Big) : ,35.00,2018-09- 15
Cucumber (1 Kg) : ,30.00,2018-09- 15
Double Beans (1 Kg) : ,170.00,2018-09- 15
Drumstick (1 Kg) : ,20.00,2018-09- 15
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-09- 15
Garlic - Small (Country) (1 Kg) : ,110.00,2018-09- 15
Ginger (1 Kg) : ,60.00,2018-09- 15
Green Peas (1 Kg) : ,60.00,2018-09- 15
Green Chilli (1 Kg) : ,25.00,2018-09- 15
Karunai Kizhangu (1 Kg) : ,50.00,2018-09- 15
Kovakkai (1 Kg) : ,25.00,2018-09- 15
Ladies Fingers (1 Kg) : ,15.00,2018-09- 15
Mango - Raw (1 Kg) : ,30.00,2018-09- 15
Maravalli Kizhangu (1 Kg) : ,40.00,2018-09- 15
Noolkol (1 Kg) : ,25.00,2018-09- 15
Onion - Big (1 Kg) : ,15.00,2018-09- 15
Onion - Small (1 Kg) : ,35.00,2018-09- 15
Onion - White (1 Kg) : ,40.00,2018-09- 15
Peerkankkai (1 Kg) : ,40.00,2018-09- 15
Potato (1 Kg) : ,25.00,2018-09- 15
Potatoes - Baby (1 Kg) : ,55.00,2018-09- 15
Radish (1 Kg) : ,06.00,2018-09- 15
Senaikizhangu (1 Kg) : ,30.00,2018-09- 15
Seppankizhangu (1 Kg) : ,35.00,2018-09- 15
Snake Gourd (1 Kg) : ,15.00,2018-09- 15
Bottle Guard (1 Kg) : ,05.00,2018-09- 15
Tomato - Bangalore (1 Kg) : ,12.00,2018-09- 15
Tomato - Local (1 Kg) : ,10.00,2018-09- 15
Vazhai Poo (1 Piece) : ,20.00,2018-09- 15
Vazhai Thandu (1 Piece) : ,15.00,2018-09- 15
Yellow Pumpkin (1 Kg) : ,05.00,2018-09- 15
