 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-07- 14
Avarai (1 Kg) : ,20.00,2018-07- 14
Amla (1 Kg) : ,126.00,2018-07- 14
Baby corn (1 Kg) : ,79.00,2018-07- 14
Beans (1 Kg) : ,45.00,2018-07- 14
Beetroot (1 Kg) : ,35.00,2018-07- 14
Bittergourd (1 Kg) : ,40.00,2018-07- 14
Brinjal (1 Kg) : ,12.00,2018-07- 14
Brinjal - Big (1 Kg) : ,35.00,2018-07- 14
Brinjal - Green (1 Kg) : ,30.00,2018-07- 14
Butter Beans (1 Kg) : ,60.00,2018-07- 14
Cabbage (1 Kg) : ,08.00,2018-07- 14
Capscicum - Red (1 Kg) :,149.00,2018-07- 14
Capscicum - Green (1 Kg) : ,65.00,2018-07- 14
Carrot (1 Kg) : ,35.00,2018-07- 14
Cauliflower (1 Piece) : ,08.00,2018-07- 14
Chow Chow (1 Kg) : ,15.00,2018-07- 14
Cluster Beans (1 Kg) : ,45.00,2018-07- 14
Coconut (Small) : ,25.00,2018-07- 14
Coconut (Big) : ,35.00,2018-07- 14
Cucumber (1 Kg) : ,29.00,2018-07- 14
Double Beans (1 Kg) : ,170.00,2018-07- 14
Drumstick (1 Kg) : ,23.00,2018-07- 14
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-07- 14
Garlic - Small (Country) (1 Kg) : ,110.00,2018-07- 14
Ginger (1 Kg) : ,120.00,2018-07- 14
Green Peas (1 Kg) : ,60.00,2018-07- 14
Green Chilli (1 Kg) : ,45.00,2018-07- 14
Karunai Kizhangu (1 Kg) : ,49.00,2018-07- 14
Kovakkai (1 Kg) : ,25.00,2018-07- 14
Ladies Fingers (1 Kg) : ,20.00,2018-07- 14
Mango - Raw (1 Kg) : ,35.00,2018-07- 14
Maravalli Kizhangu (1 Kg) : ,39.00,2018-07- 14
Noolkol (1 Kg) : ,25.00,2018-07- 14
Onion - Big (1 Kg) : ,20.00,2018-07- 14
Onion - Small (1 Kg) : ,60.00,2018-07- 14
Onion - White (1 Kg) : ,40.00,2018-07- 14
Peerkankkai (1 Kg) : ,06.00,2018-07- 14
Potato (1 Kg) : ,21.00,2018-07- 14
Potatoes - Baby (1 Kg) : ,59.00,2018-07- 14
Radish (1 Kg) : ,18.00,2018-07- 14
Senaikizhangu (1 Kg) : ,30.00,2018-07- 14
Seppankizhangu (1 Kg) : ,35.00,2018-07- 14
Snake Gourd (1 Kg) : ,13.00,2018-07- 14
Bottle Guard (1 Kg) : ,05.00,2018-07- 14
Tomato - Bangalore (1 Kg) : ,20.00,2018-07- 14
Tomato - Local (1 Kg) : ,20.00,2018-07- 14
Vazhai Poo (1 Piece) : ,20.00,2018-07- 14
Vazhai Thandu (1 Piece) : ,15.00,2018-07- 14
Yellow Pumpkin (1 Kg) : ,05.00,2018-07- 14
